id_player,first_activity_year,Won
V296,1999,0
PH87,No data,No data
K847,No data,No data
BF03,2006,0
ME30,2004,0
J581,1963,2
R796,2004,0
KA41,2007,0
DB72,2011,0
HD60,No data,No data
MR29,1930,23
GG53,2013,0
PF77,2010,0
R966,2007,0
EA44,2015,0
LF06,1927,43
CE35,2010,0
E842,No data,No data
KA69,2007,0
CB53,No data,No data
L866,2005,0
B693,1998,0
G933,No data,No data
AD44,No data,No data
G927,No data,No data
PA05,2007,0
DE28,2013,0
LA74,2008,0
CB47,No data,No data
C0R0,2024,0
L872,2005,0
BA59,No data,No data
R972,2007,0
E856,2012,0
HD74,No data,No data
AC36,2012,0
PF63,No data,No data
N644,No data,No data
GH00,2013,0
J422,2008,0
T244,1997,0
CJ66,2013,0
BI78,2009,0
D369,2000,0
C406,1998,0
B718,1998,0
E077,1978,0
J344,2007,2
V335,No data,No data
G660,2001,0
V321,2001,0
HB99,2012,0
G674,2003,0
C412,1996,0
MM39,2011,0
B0C1,2016,0
E063,1970,2
KI48,2014,2
J350,2005,0
E705,2006,0
J436,No data,No data
T250,No data,No data
LI41,No data,No data
BP85,2013,0
V447,1970,1
A563,2002,1
GH14,2015,0
P036,1981,2
B042,1980,19
T278,1998,0
BI44,2009,0
R609,2001,0
O566,2015,0
N678,No data,No data
AB95,2011,0
F542,1983,0
G884,No data,No data
V309,2000,89
GA82,No data,No data
D355,1998,0
MM11,2010,0
L709,2002,0
J378,2006,0
S271,1978,0
KI60,2015,0
B0A9,No data,No data
D341,1995,0
MM05,2010,0
KI74,2015,3
F556,2003,0
G890,No data,No data
W003,1984,0
O214,No data,No data
GA96,No data,No data
O572,2013,0
AB81,2012,0
GH28,No data,No data
E739,2007,0
BG88,No data,No data
B056,1980,6
M365,1989,0
MJ63,2008,0
BI50,2010,0
K714,2002,0
CD96,2009,0
L090,1986,1
MJ88,2008,0
BG63,2008,0
MD50,2003,0
K927,2006,0
N687,2012,0
V490,2005,4
H590,2000,0
B0N6,2022,0
MC36,2015,0
J387,2006,0
K099,1967,59
KG47,2013,0
DD74,1949,0
B0O2,2022,0
J393,2007,0
MC22,2004,0
R184,1987,0
KG53,2013,0
